トラック名	アーティスト名	アルバム名	アルバムアーティスト名	トラックの長さ（ミリ秒）	人気度	追加者	追加日時
summer	keshi	skeletons	keshi	165213	60	8	2021/9/11 11:41
skeletons	keshi	skeletons	keshi	152480	64	7	2021/9/11 11:41
2 soon	keshi	2 soon	keshi	206511	70	6	2021/9/11 11:41
MUKANJYO	Survive Said The Prophet	MUKANJYO	Survive Said The Prophet	192400	62	5	2021/9/11 11:42
found & lost	Survive Said The Prophet	s p a c e [ s ]	Survive Said The Prophet	188960	52	2	2021/9/11 11:42
Right and Left	Survive Said The Prophet	s p a c e [ s ]	Survive Said The Prophet	187373	44	1	2021/9/11 11:42
MINORS	MY FIRST STORY	"1,000,000 TIMES"	MY FIRST STORY	261680	32	1	2021/9/11 11:43
Nomad	"Zion.T, 星野 源"	Shang-Chi and The Legend of The Ten Rings: The Album	"88rising, DJスネイク"	204173	40	6	2021/9/11 11:44
Fire In The Sky	アンダーソン・パーク	Shang-Chi and The Legend of The Ten Rings: The Album	"88rising, DJスネイク"	201786	57	1	2021/9/11 11:44
Every Summertime	NIKI	Shang-Chi and The Legend of The Ten Rings: The Album	"88rising, DJスネイク"	215666	43	5	2021/9/11 11:44
War With Heaven	keshi	Shang-Chi and The Legend of The Ten Rings: The Album	"88rising, DJスネイク"	193373	58	5	2021/9/11 11:45
California (feat. Jackson Wang & Warren Hue) - [Remix]	"88rising, Rich Brian, NIKI, Jackson Wang, Warren Hue"	California (feat. Jackson Wang & Warren Hue) [Remix]	"88rising, Rich Brian, NIKI"	273927	16	5	2021/9/11 11:45
Lose	NIKI	MOONCHILD	NIKI	256001	0	6	2021/9/11 11:46
Heartache	ONE OK ROCK	35xxxv	ONE OK ROCK	265133	52	7	2021/9/11 11:48
Wherever you are	ONE OK ROCK	Nicheシンドローム	ONE OK ROCK	295600	67	6	2021/9/11 11:48
不可逆リプレイス - Fukagyaku Replace	MY FIRST STORY	ANTITHESE	MY FIRST STORY	233733	54	3	2021/9/11 11:49
Love Letter	MY FIRST STORY	Black Rail	MY FIRST STORY	271600	26	6	2021/9/11 11:49
終焉レクイエム - Syuen Requiem	MY FIRST STORY	ALL SECRET TRACKS	MY FIRST STORY	222600	37	4	2021/9/11 11:50
Renegades	ONE OK ROCK	Renegades	ONE OK ROCK	244538	49	2	2021/9/11 11:50
C.h.a.o.s.m.y.t.h.	ONE OK ROCK	残響リファレンス	ONE OK ROCK	318426	56	5	2021/9/11 11:51
Clock Strikes	ONE OK ROCK	人生×僕＝	ONE OK ROCK	235346	54	5	2021/9/11 11:52
Always coming back	ONE OK ROCK	Ambitions	ONE OK ROCK	213573	45	6	2021/9/11 11:53
Summer Paradise (feat. Taka from One OK Rock)	"シンプル・プラン, Taka from ONE OK ROCK"	Summer Paradise (feat. Taka from One OK Rock)	シンプル・プラン	234106	36	6	2021/9/11 11:55
Be the light	ONE OK ROCK	人生×僕＝	ONE OK ROCK	338920	50	4	2021/9/11 11:55
Pierce	ONE OK ROCK	残響リファレンス	ONE OK ROCK	265120	44	3	2021/9/11 11:55
Re:make	ONE OK ROCK	残響リファレンス	ONE OK ROCK	204493	54	7	2021/9/11 11:55
SLOW DANCING IN THE DARK	Joji	BALLADS 1	Joji	209273	5	8	2021/9/11 11:56
ATTENTION	Joji	BALLADS 1	Joji	128888	1	7	2021/9/11 11:56
Gimme Love	Joji	Nectar	Joji	214557	0	8	2021/9/11 11:57
Lemon	米津玄師	STRAY SHEEP	米津玄師	255826	73	7	2021/9/11 11:58
死神	米津玄師	Pale Blue	米津玄師	180709	54	2	2021/9/11 11:58
アイネクライネ	米津玄師	YANKEE	米津玄師	288013	70	6	2021/9/11 11:58
花に嵐	米津玄師	YANKEE	米津玄師	284560	46	5	2021/9/11 11:58
海と山椒魚	米津玄師	YANKEE	米津玄師	313506	48	1	2021/9/11 11:58
ドーナツホール - COVER	米津玄師	YANKEE	米津玄師	205093	56	4	2021/9/11 11:58
PLACEBO ＋ 野田洋次郎	"米津玄師, 野田洋次郎"	STRAY SHEEP	米津玄師	240253	55	3	2021/9/11 11:58
海の幽霊	米津玄師	STRAY SHEEP	米津玄師	234466	60	5	2021/9/11 11:58
翡翠の狼	米津玄師	orion	米津玄師	230546	46	4	2021/9/11 11:59
鳥にでもなりたい	米津玄師	MAD HEAD LOVE／ポッピンアパシー	米津玄師	162533	38	3	2021/9/11 11:59
カタオモイ	Aimer	daydream	Aimer	207360	67	8	2021/9/11 12:00
SPARK-AGAIN	Aimer	Walpurgis	Aimer	242733	56	2	2021/9/11 12:00
地球儀	"Aimer, Vaundy"	Walpurgis	Aimer	232786	44	6	2021/9/11 12:00
insane dream	Aimer	daydream	Aimer	253120	35	6	2021/9/11 12:00
ninelie	"Aimer, Chelly"	daydream	Aimer	261773	53	5	2021/9/11 12:00
for ロンリー	"Aimer, 阿部真央"	daydream	Aimer	291573	32	3	2021/9/11 12:01
蝶々結び	Aimer	daydream	Aimer	305333	55	3	2021/9/11 12:01
Torches	Aimer	Torches	Aimer	294346	29	5	2021/9/11 12:01
Blind to you	Aimer	Torches	Aimer	281560	27	5	2021/9/11 12:01
I beg you	Aimer	Penny Rain	Aimer	267213	51	4	2021/9/11 12:01
セプテンバーさん	RADWIMPS	RADWIMPS 3 ～無人島に持っていき忘れた一枚～	RADWIMPS	307173	64	6	2021/9/11 12:02
セプテンバーさん	Aimer	蝶々結び	Aimer	302960	44	8	2021/9/11 12:02
春はゆく	Aimer	花の唄 / I beg you / 春はゆく	Aimer	306386	35	7	2021/9/11 12:03
Sailing	Aimer	Penny Rain	Aimer	335973	39	8	2021/9/11 12:03
コイワズライ	Aimer	Sun Dance	Aimer	235160	55	5	2021/9/11 12:03
今日から思い出 Evergreen ver.	Aimer	Black Bird / Tiny Dancers / 思い出は奇麗で	Aimer	302760	29	1	2021/9/11 12:04
花びらたちのマーチ	Aimer	Sun Dance	Aimer	193400	44	2	2021/9/11 12:04
花の唄	Aimer	Penny Rain	Aimer	371426	46	6	2021/9/11 12:04
思い出は奇麗で	Aimer	Sun Dance	Aimer	209813	0	5	2021/9/11 12:04
March of Time	Aimer	"BEST SELECTION ""blanc"""	Aimer	296600	0	8	2021/9/11 12:04
After Rain	Aimer	After Dark	Aimer	292760	46	7	2021/9/11 12:05
Stars in the rain	Aimer	daydream	Aimer	302266	35	1	2021/9/11 12:05
my sweetest one	Aimer	broKen NIGHT / holLow wORlD	Aimer	279640	27	4	2021/9/11 12:05
六等星の夜	Aimer	"BEST SELECTION ""blanc"""	Aimer	337920	31	3	2021/9/11 12:05
ONE	Aimer	Sun Dance	Aimer	328493	46	7	2021/9/11 12:06
糸	Aimer	ONE / 花の唄 / 六等星の夜 Magic Blue ver.	Aimer	223946	31	3	2021/9/11 12:06
バナナフィッシュの浜辺と黒い虹	"Galileo Galilei, Aimer"	See More Glass	Galileo Galilei	282693	35	2	2021/9/11 12:06
歌鳥風月	Aimer	"BEST SELECTION ""blanc"""	Aimer	344626	32	8	2021/9/11 12:07
LAST STARDUST	Aimer	DAWN	Aimer	318666	55	3	2021/9/11 12:07
Drive Safe	Rich Brian	The Sailor	Rich Brian	240118	0	4	2021/9/11 12:07
